address,withdrawal_block,first_shield_block
0x47e105d26e245fa3729b95138f1cbc4902349a5d,23183392,23183845
0xa780ebf05a64129c5ad821cbd1de76243085bf9c,23187132,23187374
0x6b1c65e35b69761c62c48973fa56623db17e2bfa,23212908,23213175
0x38be8f6eea0ffaf2a02e99fdbd154f489668f6f3,23227310,23227558
0x5448337173ca7b41516e089351b5441430534bb3,23245573,23245578
0xbf79c55c94863ff8d6b832cc2f828edc97b7e5b7,14989558,23267409
0xe898c16d1fbb13dbd0665a1d533d6b91d0631411,12291152,23270900
0x561bb68d6b58a08483162b50cfa3e05e7225e5b8,11463427,23276364
0x6dbe5e995928e7994b87fef62864df5a98acbf52,23322168,23322230
0x8eadaad20a5c2d0da1c8f9c12e0050c7a908c0ad,23322265,23322302
0x0650e182d69c9d1d96f11be0adfef92cd18e6c0f,23333887,23334146
0x0a5b2bf3ccfb44c1d22f07eed9553ecba752d4ad,22796458,23395491
0xb513f7ace228fcae788a3dee87925c83a5f1a1bb,23421495,23421524
0xa096f39f476e6dc120f4bcba3ece4401797e79cc,23421500,23423711
0xaf6963f8d4ed3acddbf5d23309ef7b1b693cf819,23424201,23424211
0x74369f6e61cc79e0cfa2ecc6051b2531b761f8ae,23421506,23427209
0x9423829eff21ece3a20313fa11a46856c96e7da7,23428197,23428201
0x9d22f33ff74b78a187a3b5030a14aa81a1465501,23428712,23433008
0x3c54ba41fc7a8e32b671ef1c0ae9191bb18d762b,23434285,23434293
0x6523d02ca73485ef91eceec3cd1eae799d7d65ae,23436056,23436095
0x6ce75502cc3f57adf64084a181651356aa9db48c,23440955,23440962
0xb2752493c4a512a093d8839b4cbf1f7f2f465ef9,23454894,23454900
0x0ea7572bf3837a11166e140cd7b5a4fdaf34a3cd,23457611,23457634
0xb9c96aac43948d0a92388ac9107eea204b979a89,23463121,23463138
0x1f540e4d3211d393c31fa343cffd080d9b11b29e,9300605,23473467
0x1e7ec7585528936c916c47b51fdf845a55362aae,23480481,23501621
0x7ed83fe36e480cc6c409ac085f10d91747fec2dd,23514364,23514370
0xa81abd1f6fde1a1bbfa61ff3bcf4b170ffa1f811,23524443,23524451
0x771991fc8ce57682775ee73bb28b201f4016b090,14284015,23526975
0x9a882fbd7ca5d255eabdfadf0e592be7062e0905,23553833,23546705
0xc5b527eceb8d9aa8ee80acf3945af638eb058dc0,12314351,23569799
0x5ba066a96bcad06ba464fe2ead92316f21d0fed5,23584626,23584726
0x7818fc6f57712fc02b1365fafc4814c3bd61b5b5,22911004,23596379
0xbadaef7f89c15e84fd40b8a92046281469f6c4a9,23621285,23633405
0x6da05e46d4f3dbf463ba72ed3fb9e2eeb9421c26,23624776,23639228
0x544d0d128bb84e09674382c7a3481dc6b067e05f,23640350,23640358
0xde8aee37c6dce6d0210554594ad885c9d6bdee07,23477420,23640724
0xf9ee59c42cc7b57f279b98a141ff20808cc1cf84,23625899,23662976
0x6d9ef3594ea2ce95699d3153b8cf18e74b3ca33e,23696193,23696197
0xb09da29ca93c6b955af8369a87d7ba2c4dae1564,23713162,23713181
0x610a2a2f93721b01c44889e8d4d46443e9559133,23713233,23713429
0xe688047b10db87d198e12e21991a8344212316a8,23714524,23714879
0x23de1ce24ad4e22cc2c9f1fb89c474fd2281f464,23718539,23721724
0x0fdbbb63a6d08bb06443bf2d9bbf949d2252cf47,23720284,23724729
0xb771289c9ff0e84cdff79c8f84b1a0b48713add7,23812701,23734456
0x30f1f4b073de152910fe0604b261d86d8ab8f072,11497246,23735101
0xef7248c33e3038aadbdd82e4bff966e606f9a393,23741522,23741527
0x773ced588987c836c9a4c3510927302beb6484fe,23751366,23747827
0x294f9b0155e97d68bc18400db05418a3c59d99a2,23748518,23748539
0x3e605b942ba0280504e1de1ff1a926c21e5d2b57,23754895,23754932
0x05068582a187e2d6361c8c9e35f5bb266441a3e8,23754911,23754942
0x7eab54b2ff6c51673f9615ef895caa79fff4ee53,23754925,23754954
0xe30ff30cd7b15fb879a8081dca04bb8e65fdc187,23754958,23754966
0x90444ddc08e0cb6ee41981e28a7137638e5dec98,23758967,23759026
0x76551f89a7246608e493b28cabc8a6f8cf260df0,23760458,23760469
0xef565be6a6688b3e3afdaec4b38ccac31e45f889,23760467,23760477
0x8073fbf5ad6b61ed3cabbc7926f8b3b0547b2596,23760447,23760477
0x43822d14a590e065e7b64d4248f2bfd73cd931bd,23760648,23760718
0x6c4f805335e6b91350ff291abc1c045971c2696f,23760766,23760781
0xac741f9f2a7b18991222d66b3a78c2e19541e38e,23760757,23760781
0x357ffc88300952ce99085ac7a4e31af9cf46b8e9,23760777,23760789
0x07a71637cd4c16c5c915ab245db173c6dc64a109,23760820,23760829
0x67aa1df4b8c0374e844ecd63978cceb46c51f654,23760988,23761027
0xea5f017ceaa2f4fe86a0c1abf1a0c87fb0e5d7fc,23761002,23761061
0x2cbe3ef4b95138dd3fdc212fc65ad0986af5ce5a,23761764,23761783
0xb7939ddd1e4667cc713bf9e99ae758ab7fcc1398,23762109,23762115
0xc7095283eb9d60810c808b6e43935909ba0c2053,23762636,23762761
0xb02a51d2c110e64f335c5bdd384493d312bc8554,23762825,23762875
0x855ffe52bd28344b33af4b1a55090f040afe5c9f,23769222,23769235
0x8cf268b4a5d55fbf503c43a8b1ea179d61a9c0d5,23777799,23777812
0xe63f545df6639405076520159d551f32995ce0aa,23779207,23779239
0x81be6afe3855bcd040ece066a39b2efc1b180a9f,23779427,23779432
0xefe1bd181106d42a02550757408ed77870a4f3f6,23782003,23782013
0x5ce92163fd1ebbc43631ad9ceba6e8dab4b8e7be,23782204,23782219
0xb13c432f52ee6653d7785b98847e31855ad39f5a,15639026,23791638
0x000101d1c9769ea22d6ea627b19bffcc99f61bf3,15720339,23792052
